user_id,recomendations
83,"[1082185, 6534178, 923746, 1041259, 1065593]"
84,"[1082185, 995242, 5569471, 951590, 1080414]"
85,"[995242, 6534178, 1075368, 1005186, 986912]"
86,"[951590, 866227, 1039156, 1029743, 1133018]"
87,"[979707, 1082185, 1029743, 1106523, 6534178]"
88,"[8090521, 1075368, 6534178, 962229, 953476]"
89,"[1082185, 6534178, 995242, 860776, 986947]"
90,"[1082185, 986912, 1029743, 6533889, 995242]"
91,"[1082185, 1029743, 6534178, 1058997, 824005]"
92,"[845208, 1058997, 962568, 1082185, 923746]"
93,"[1082185, 861272, 1058997, 6034857, 862349]"
94,"[979707, 861272, 6534178, 976199, 1005186]"
95,"[1082185, 849843, 1029743, 981760, 995242]"
96,"[1029743, 1106523, 1026118, 5569230, 1028816]"
97,"[1096036, 860776, 6534178, 1075368, 962229]"
98,"[1124729, 1134522, 862349, 849843, 1070015]"
99,"[1082185, 995242, 6034857, 883404, 908531]"
100,"[6534178, 908531, 981760, 849843, 916122]"
101,"[6534178, 1106523, 951590, 6533765, 909894]"
102,"[1028816, 834484, 908846, 1053690, 1033142]"
103,"[1106523, 883404, 5569471, 986912, 1092026]"
104,"[1082185, 995242, 1029743, 840361, 847982]"
105,"[961554, 909894, 1004906, 995242, 1005186]"
106,"[6034857, 849843, 1028816, 5569230, 6534178]"
107,"[1106523, 6534178, 1133018, 981760, 5569230]"
108,"[1082185, 849843, 1127831, 1029743, 862349]"
109,"[1082185, 1058997, 840361, 1051516, 880150]"
110,"[995785, 1070015, 927191, 1133018, 860975]"
111,"[1106523, 1133018, 833025, 847982, 901062]"
112,"[6534178, 1039156, 933835, 894236, 5569471]"
113,"[1082185, 6534178, 976199, 862349, 903325]"
114,"[1029743, 6534178, 1070820, 995242, 861272]"
115,"[908531, 983584, 862349, 5978656, 6534178]"
116,"[1133018, 5569471, 5569230, 1071939, 908531]"
117,"[862349, 1082185, 951590, 1058997, 995242]"
118,"[1082185, 6534178, 1116821, 893018, 995785]"
119,"[1077555, 861272, 908531, 995242, 981760]"
120,"[1082185, 1106523, 1029743, 1133018, 6534178]"
121,"[1029743, 995242, 923746, 849843, 1033615]"
122,"[940947, 1005186, 5569230, 1102959, 1080414]"
123,"[1056509, 849843, 981760, 1005186, 1058997]"
124,"[1037840, 1106523, 1133018, 883404, 833025]"
125,"[6534178, 844165, 995242, 1029743, 868764]"
126,"[1029743, 844165, 981760, 1044078, 1092026]"
127,"[1044078, 6534178, 995242, 1075368, 854852]"
128,"[1082185, 1051516, 1037863, 1007195, 903325]"
129,"[1082185, 1029743, 1058997, 995242, 834484]"
130,"[1114597, 1106523, 6534178, 844165, 1070015]"
131,"[995242, 1082185, 923746, 1029743, 1070015]"
132,"[1082185, 1096036, 854852, 1022254, 1126899]"
133,"[979707, 995242, 5569230, 1133018, 1022254]"
134,"[1101010, 913210, 1106523, 995242, 5569471]"
135,"[861272, 986912, 862349, 840361, 866227]"
136,"[8090537, 1106523, 1133018, 8090521, 5569230]"
137,"[1058997, 908531, 844165, 1126899, 849843]"
138,"[1082185, 1070820, 995785, 862349, 1122358]"
139,"[1082185, 6534178, 909894, 1058997, 879755]"
140,"[1037840, 1106523, 844165, 1092026, 951590]"
141,"[824005, 995785, 6534166, 1041259, 834484]"
142,"[1082185, 1058997, 953476, 1070015, 990797]"
143,"[844165, 995242, 1133018, 908531, 1106523]"
144,"[1106523, 883404, 986912, 1033615, 1065593]"
145,"[1082185, 1029743, 5569471, 1058997, 1044078]"
146,"[1029743, 6534178, 995242, 1126899, 1005186]"
147,"[1106523, 1133018, 908531, 994928, 961554]"
148,"[5569230, 995242, 883003, 951590, 8090537]"
149,"[1082185, 6534178, 962568, 981760, 913210]"
150,"[1029743, 995242, 908531, 1085604, 870547]"
151,"[995242, 1126899, 6533889, 1005186, 5569230]"
152,"[1082185, 914190, 981760, 1062002, 1127831]"
153,"[981760, 1026118, 938700, 894236, 859075]"
154,"[1133018, 923746, 844165, 965766, 1057260]"
155,"[1029743, 951590, 883404, 826249, 908318]"
156,"[6534178, 908531, 1005186, 1075368, 951590]"
157,"[962229, 1058997, 981760, 1126899, 844165]"
158,"[5978656, 909894, 862349, 1082185, 1070820]"
159,"[994928, 923746, 1096036, 1098066, 849843]"
160,"[1070820, 1005186, 986912, 894236, 962568]"
161,"[995242, 1098066, 868764, 953476, 1102959]"
162,"[1122358, 953476, 916122, 1070820, 860975]"
163,"[923746, 844165, 1132770, 860776, 961554]"
164,"[1029743, 927191, 849843, 883404, 995242]"
165,"[6534178, 1082185, 862349, 1070820, 849843]"
166,"[5568378, 1029743, 1101010, 951590, 1053690]"
167,"[1043751, 995242, 908531, 995785, 5569230]"
168,"[1029743, 995785, 6534166, 961554, 866227]"
169,"[1082185, 1029743, 1106523, 6534178, 995242]"
170,"[1082185, 1058997, 1070820, 1024306, 1126899]"
171,"[908531, 1029743, 1044078, 913210, 1053763]"
172,"[5569230, 849843, 6534178, 1053690, 6533765]"
173,"[1082185, 1070820, 6534178, 914190, 862349]"
174,"[1043590, 1133018, 883404, 1050851, 835098]"
175,"[1106523, 1058997, 994928, 824005, 1026118]"
176,"[1106523, 6534178, 1133018, 883404, 5569230]"
177,"[1082185, 6534178, 1058997, 1126899, 849843]"
178,"[1040807, 1106523, 8090521, 1092026, 1085604]"
179,"[5569230, 951590, 938700, 1065593, 962229]"
180,"[899624, 1029743, 908531, 1075368, 927191]"
181,"[1082185, 6534178, 995242, 951590, 894236]"
182,"[1044078, 981760, 849843, 1133018, 1134522]"
183,"[1043590, 1106523, 1028816, 860776, 908846]"
184,"[6534178, 5978656, 981760, 923746, 824005]"
185,"[1029743, 868764, 8090537, 844165, 6534178]"
186,"[1082185, 1029743, 1106523, 6534178, 1133018]"
187,"[1082185, 1133018, 908531, 5569230, 951590]"
188,"[1106523, 1133018, 844165, 1005186, 849843]"
189,"[1043751, 1005186, 986912, 965766, 951590]"
190,"[995785, 951590, 903325, 951412, 1053690]"
191,"[1082185, 6534178, 914190, 994928, 965766]"
192,"[5569230, 1029743, 981760, 1053690, 990797]"
193,"[6534178, 8090537, 1029743, 990797, 995242]"
194,"[1119051, 995785, 903325, 961554, 951412]"
195,"[1082185, 995242, 1029743, 981760, 6534178]"
196,"[1053690, 1098066, 962229, 1106523, 1037840]"
197,"[1082185, 844165, 1126899, 986912, 965766]"
198,"[1029743, 1133018, 1106523, 873627, 1065593]"
199,"[995242, 1005186, 861272, 1058997, 1070015]"
200,"[883404, 1126899, 5568378, 1122358, 1085604]"
201,"[5568378, 5569327, 1082185, 1116821, 999971]"
202,"[1029743, 6533889, 5569230, 849843, 962229]"
203,"[1029743, 1070820, 6534178, 1058997, 1005186]"
204,"[1070820, 923746, 6034857, 1040807, 995965]"
205,"[1082185, 981760, 1026118, 1106523, 845208]"
206,"[1106523, 908531, 883404, 1044078, 1033615]"
207,"[1058997, 976199, 995785, 1026118, 1071939]"
208,"[1037863, 1070820, 951590, 885290, 981760]"
209,"[6534178, 6533765, 923746, 995242, 1029743]"
210,"[1082185, 1106523, 849843, 860776, 879755]"
211,"[1082185, 962229, 951590, 1033142, 1081177]"
212,"[1082185, 995242, 860776, 951590, 1004906]"
213,"[868764, 5568378, 1026118, 1044078, 986912]"
214,"[1082185, 901062, 1058997, 862349, 1005186]"
215,"[1082185, 994928, 1005186, 995785, 961554]"
216,"[1040807, 866227, 1005186, 820165, 986912]"
217,"[1082185, 995242, 6534178, 951590, 986912]"
218,"[962568, 1116821, 860776, 6534178, 995242]"
219,"[1082185, 981760, 862349, 951590, 5569471]"
220,"[995242, 847982, 1068719, 6534178, 6534166]"
221,"[1043751, 1133018, 995242, 883404, 1038217]"
222,"[1082185, 1058997, 847982, 866211, 849843]"
223,"[844165, 859075, 883404, 987562, 879755]"
224,"[908531, 995242, 866227, 883404, 1133018]"
225,"[1029743, 1133018, 911812, 951590, 834484]"
226,"[1029743, 6534178, 995242, 1071939, 1065593]"
227,"[908531, 5978656, 5978648, 1058997, 1082185]"
228,"[890610, 866227, 1058997, 1095275, 1082185]"
229,"[1029743, 995242, 5569230, 833025, 986912]"
230,"[1044078, 913210, 6534178, 1029743, 961554]"
231,"[1029743, 6534178, 995242, 908531, 5569230]"
232,"[6534178, 6533765, 995242, 1082185, 1029743]"
233,"[1082185, 1029743, 1106523, 6534178, 1133018]"
234,"[1133018, 923746, 868764, 908531, 1132770]"
235,"[6534178, 862349, 1070820, 983584, 1082185]"
236,"[1126899, 5569471, 1075368, 866227, 1022254]"
237,"[914190, 883404, 5569471, 5569230, 849843]"
238,"[1082185, 1106523, 868764, 1075368, 1044078]"
239,"[834484, 999971, 857849, 1133018, 1120741]"
240,"[1082185, 1029743, 1106523, 1133018, 6534178]"
241,"[1026118, 5569230, 1028816, 870515, 860776]"
242,"[1029743, 883404, 854852, 849843, 995785]"
243,"[6534178, 860776, 909714, 6034857, 901062]"
244,"[1082185, 1133018, 1070015, 849843, 834117]"
245,"[908531, 923746, 6534178, 847982, 995242]"
246,"[1070820, 1005186, 849843, 951590, 862349]"
247,"[1082185, 1077555, 1133018, 8090537, 986912]"
248,"[849843, 1126899, 840361, 1058997, 1029743]"
249,"[1029743, 1053690, 965766, 994928, 883404]"
250,"[1029743, 995242, 951590, 8090537, 1056509]"
251,"[883404, 1070820, 1040807, 995242, 999971]"
252,"[1082185, 1029743, 1106523, 6534178, 995242]"
253,"[923746, 1033615, 951590, 1133018, 1106523]"
254,"[1106523, 1022003, 1085604, 845208, 1022254]"
255,"[979707, 1029743, 5569230, 1048462, 951590]"
256,"[862349, 5978648, 825541, 5568378, 861272]"
257,"[1033615, 1106523, 994928, 1070015, 859075]"
258,"[995242, 1120741, 849843, 1065593, 862349]"
259,"[940947, 953476, 1080414, 879755, 976998]"
260,"[1070820, 981760, 1028816, 6534166, 862349]"
261,"[6534178, 995242, 5568378, 1092026, 951590]"
262,"[1058997, 981760, 849843, 986912, 1040807]"
263,"[994928, 1029743, 940947, 995242, 951590]"
264,"[6534178, 1110572, 962568, 987562, 1018740]"
265,"[1058997, 923746, 908531, 1005186, 5978648]"
266,"[1082185, 1058997, 1126899, 5569471, 981760]"
267,"[1082185, 1029743, 1106523, 6534178, 995242]"
268,"[1058997, 995242, 1075368, 5569230, 999971]"
269,"[1106523, 1133018, 981760, 962229, 1068719]"
270,"[1106523, 1058997, 5569471, 5569230, 986912]"
271,"[1058997, 883404, 1126899, 1005186, 986912]"
272,"[1082185, 1029743, 1106523, 6534178, 1133018]"
273,"[1005186, 840361, 883404, 1106523, 1085604]"
274,"[979707, 1106523, 883404, 1070015, 995785]"
275,"[1082185, 868764, 1106523, 1133018, 849843]"
276,"[6534178, 1022003, 951590, 995242, 847982]"
277,"[1029743, 868764, 849843, 834484, 962229]"
278,"[861272, 883404, 824005, 995785, 870515]"
279,"[1029743, 6534178, 995242, 1005186, 994928]"
280,"[1133018, 6534178, 1106523, 1044078, 981760]"
281,"[1082185, 1070820, 995785, 854852, 862349]"
282,"[6534178, 916122, 995785, 970030, 923746]"
283,"[1082185, 5569471, 961554, 990797, 826249]"
284,"[1029743, 1075368, 1085604, 5592931, 8090521]"
285,"[981760, 1082185, 923746, 849843, 1081177]"
286,"[1082185, 5569230, 866211, 825541, 901062]"
287,"[995785, 1070015, 1033615, 981760, 1106523]"
288,"[1082185, 1070820, 1026118, 995785, 6534178]"
289,"[1082185, 981760, 909714, 986947, 6533889]"
290,"[995242, 1029743, 1068719, 923746, 962229]"
291,"[1132770, 1005186, 879755, 844165, 1106523]"
292,"[1106523, 1133018, 844165, 986912, 951590]"
293,"[979707, 824005, 995785, 995242, 1133018]"
294,"[995785, 860776, 1106523, 1133018, 908531]"
295,"[1082185, 1029743, 994928, 826249, 1033142]"
296,"[1082185, 6534178, 995242, 1029743, 1133018]"
297,"[1082185, 883404, 995242, 844165, 908531]"
298,"[1106523, 5568378, 866211, 1065593, 962229]"
299,"[1082185, 1029743, 1106523, 6534178, 1133018]"
300,"[923746, 962229, 1106523, 1029743, 871756]"
301,"[1082185, 995242, 874972, 6034857, 1029743]"
302,"[1102959, 1070820, 866211, 961554, 5569327]"
303,"[995242, 1082185, 6534178, 5569230, 951590]"
304,"[1029743, 6534178, 873627, 868764, 995242]"
305,"[861272, 6534178, 995242, 1102959, 825541]"
306,"[961554, 995242, 1037863, 962229, 923746]"
307,"[6534178, 845208, 1039156, 994928, 981760]"
308,"[1058997, 1065593, 5569230, 1110572, 1003600]"
309,"[1082185, 885290, 8090521, 8090537, 995242]"
310,"[1082185, 6534178, 1058997, 995242, 833025]"
311,"[1082185, 1106523, 844165, 1005186, 6034857]"
312,"[1082185, 986912, 866211, 951412, 961554]"
313,"[1082185, 1029743, 6534178, 908531, 872137]"
314,"[1082185, 1106523, 981760, 1013321, 883404]"
315,"[1106523, 824005, 1026118, 1028816, 1102959]"
316,"[995785, 1044078, 995242, 5592931, 1081177]"
317,"[1082185, 1029743, 951590, 983584, 8090521]"
318,"[5569230, 914190, 1134522, 1106523, 962229]"
319,"[6534178, 860776, 961554, 1106523, 1133018]"
320,"[5568378, 860776, 908846, 903325, 8090521]"
321,"[1082185, 840361, 1056509, 1058997, 986912]"
322,"[923746, 862349, 1082185, 981760, 1058997]"
323,"[1082185, 1029743, 1106523, 6534178, 1133018]"
324,"[1082185, 901062, 6534178, 903325, 1070820]"
325,"[5569471, 5569230, 995242, 1029743, 951590]"
326,"[1037840, 8090521, 8090537, 995242, 1043590]"
327,"[1106523, 1133018, 908531, 883404, 1065593]"
328,"[1028816, 1041259, 878996, 908846, 885290]"
329,"[1003600, 1127831, 901062, 1005186, 854852]"
330,"[861272, 6534178, 995242, 1005186, 849843]"
331,"[1029743, 1106523, 1070820, 844165, 1075368]"
332,"[995242, 862349, 1029743, 1058997, 1070820]"
333,"[940947, 1106523, 1133018, 883404, 1005186]"
334,"[1082185, 860776, 847982, 860975, 908531]"
335,"[1082185, 1106523, 1133018, 1075368, 995785]"
336,"[1082185, 1106523, 6534178, 923746, 5569230]"
337,"[1029743, 995242, 908531, 5569471, 849843]"
338,"[1028816, 908846, 1051516, 1026118, 1133018]"
339,"[1106523, 1133018, 923746, 1044078, 1065593]"
340,"[1082185, 1029743, 1133018, 995242, 883404]"
341,"[1082185, 1029743, 6534178, 907014, 916122]"
342,"[899624, 1029743, 883404, 1005186, 847982]"
343,"[995242, 923746, 844165, 1092026, 866211]"
344,"[6534178, 995242, 883404, 981760, 834484]"
345,"[1082185, 883404, 995242, 1029743, 940947]"
346,"[1082185, 995242, 1029743, 826249, 981760]"
347,"[1133018, 923746, 1126899, 5569471, 951590]"
348,"[1056509, 999971, 1096036, 883404, 1043590]"
349,"[1106523, 1043751, 1133018, 1126899, 994928]"
350,"[873627, 860776, 1085604, 6534178, 1106523]"
351,"[1082185, 1057260, 1133018, 951590, 1106523]"
352,"[1058997, 986912, 835098, 970030, 951412]"
353,"[979707, 866211, 908846, 909714, 1022254]"
354,"[1050851, 951590, 1133018, 962229, 916122]"
355,"[1106523, 5568378, 1005186, 927191, 866211]"
356,"[6534178, 995242, 883404, 1075368, 986912]"
357,"[849843, 1058997, 1126899, 999971, 840361]"
358,"[834484, 872137, 1106523, 981760, 5569230]"
359,"[923746, 5568378, 995785, 1044078, 1033615]"
360,"[1082185, 995242, 5568378, 1005186, 1132770]"
361,"[1082185, 5569230, 1044078, 1056509, 1101010]"
362,"[986912, 866227, 1055863, 1022254, 923746]"
363,"[1082185, 1029743, 6534178, 923746, 994928]"
364,"[1106523, 965766, 1092026, 890610, 1096036]"
365,"[1022003, 1082185, 1062002, 986912, 1132771]"
366,"[1106523, 1133018, 883404, 1044078, 1092026]"
367,"[1082185, 862349, 1070820, 5978656, 860776]"
368,"[1037840, 6534178, 908531, 844165, 951590]"
369,"[1126899, 981760, 1044078, 1132770, 866211]"
370,"[6534178, 995242, 860776, 1023958, 961554]"
371,"[1082185, 1029743, 840361, 995242, 860776]"
372,"[1082185, 1029743, 1005186, 962229, 916122]"
373,"[1082185, 1029743, 1106523, 6534178, 1133018]"
374,"[1037840, 1029743, 923746, 1082185, 879755]"
375,"[1029743, 1106523, 6534178, 914190, 849843]"
376,"[965766, 849843, 953476, 1033615, 1044078]"
377,"[1082185, 1029743, 995785, 880150, 840361]"
378,"[1082185, 1005186, 6534178, 986912, 860975]"
379,"[1082185, 1029743, 1106523, 6534178, 1133018]"
380,"[923746, 1106523, 1133018, 1065593, 5569230]"
381,"[1075368, 859075, 883404, 995242, 1029743]"
382,"[6534178, 995242, 908531, 824005, 5569471]"
383,"[1082185, 1119051, 1041259, 1126899, 1058997]"
384,"[1075368, 995785, 1082185, 6534178, 5569471]"
385,"[6034857, 1057260, 903325, 995785, 1058997]"
386,"[826249, 1092026, 1095275, 849843, 883404]"
387,"[1126899, 862139, 923746, 1058997, 844165]"
388,"[1029743, 995242, 849843, 859075, 961554]"
389,"[1082185, 1058997, 6533889, 1126899, 1024306]"
390,"[951590, 5569230, 844165, 995242, 1053690]"
391,"[1029743, 826249, 1101173, 908531, 1080414]"
392,"[916122, 981760, 1053690, 940947, 951412]"
393,"[1065593, 5978656, 999971, 995242, 883404]"
394,"[1082185, 834484, 1005186, 1029743, 1133018]"
395,"[1053690, 1029743, 995242, 962229, 1120741]"
396,"[1058997, 1126899, 5978656, 908846, 6534178]"
397,"[840361, 1058997, 1126899, 6534178, 883404]"
398,"[1029743, 6534178, 995242, 1092026, 847982]"
399,"[1133018, 1005186, 1075368, 5569230, 911812]"
400,"[1082185, 1029743, 6533889, 860776, 999971]"
401,"[965766, 986912, 834484, 1033615, 849843]"
402,"[1106523, 6534178, 914190, 824005, 1005186]"
403,"[1082185, 995242, 835098, 847982, 840361]"
404,"[1003600, 6034857, 951412, 860776, 1081177]"
405,"[916122, 962229, 1039156, 834484, 860776]"
406,"[1029743, 1058997, 1126899, 1070015, 894236]"
407,"[1037840, 994928, 927191, 1122358, 8090521]"
408,"[1082185, 923746, 1127831, 1029743, 849843]"
409,"[1070820, 1082185, 979707, 862349, 6534178]"
410,"[1044078, 866227, 976998, 826249, 995242]"
411,"[826249, 860776, 6534178, 951590, 1075368]"
412,"[986912, 866227, 1095275, 1005186, 1133018]"
413,"[6534178, 1082185, 1106523, 5569230, 986912]"
414,"[940947, 6534178, 1085604, 1029743, 1106523]"
415,"[1082185, 1106523, 1029743, 1133018, 6534178]"
416,"[923746, 1126899, 1122358, 890610, 826249]"
417,"[1082185, 995242, 1029743, 883404, 1127831]"
418,"[1082185, 6534178, 1003188, 951590, 929668]"
419,"[1029743, 6534178, 995242, 5569230, 962229]"
420,"[1029743, 1106523, 995242, 1133018, 1053763]"
421,"[923746, 1126899, 6534178, 981760, 1070820]"
422,"[844165, 1133018, 995242, 1106523, 1029743]"
423,"[1058997, 844165, 5569471, 5569230, 894236]"
424,"[1082185, 883404, 5569471, 825541, 1040807]"
425,"[883404, 849843, 840361, 1070820, 1106523]"
426,"[1082185, 6534178, 862349, 961554, 1005186]"
427,"[1082185, 1029743, 834484, 860776, 1075368]"
428,"[1132770, 882441, 860975, 995242, 1029743]"
429,"[1029743, 995242, 995785, 833025, 834484]"
430,"[1029743, 1106523, 1096036, 908531, 962229]"
431,"[1070820, 1058997, 995242, 5569230, 951590]"
432,"[1029743, 883404, 938700, 882441, 861272]"
433,"[1082185, 1106523, 923746, 995785, 951590]"
434,"[1048462, 994928, 976998, 5568378, 1044078]"
435,"[844165, 5569471, 5569230, 909714, 8090521]"
436,"[847982, 962568, 1029743, 5569845, 961554]"
437,"[1082185, 6534178, 1053690, 1095275, 995242]"
438,"[860776, 840361, 1133018, 951590, 854852]"
439,"[1037840, 1075368, 986912, 908846, 1038217]"
440,"[1082185, 1029743, 1106523, 6534178, 1133018]"
441,"[1082185, 933835, 976998, 12810393, 833715]"
442,"[1126899, 1070015, 1005186, 1058997, 1095275]"
443,"[1057260, 1077555, 981760, 862349, 1095275]"
444,"[1106523, 923746, 883404, 1070015, 866211]"
445,"[1070820, 1058997, 908531, 1126899, 1044078]"
446,"[1082185, 1029743, 1106523, 6534178, 1133018]"
447,"[999971, 1057260, 1029743, 995242, 1096036]"
448,"[1082185, 1058997, 868764, 1126899, 1122358]"
449,"[1029743, 940947, 995242, 849843, 1048462]"
450,"[995242, 933835, 1005186, 1038217, 883404]"
451,"[1082185, 860776, 962229, 1044078, 6534178]"
452,"[908531, 844165, 883404, 995785, 1044078]"
453,"[1082185, 908531, 824005, 866211, 909714]"
454,"[1029743, 995242, 5569230, 981760, 1023958]"
455,"[1029743, 1070820, 5569230, 951590, 862349]"
456,"[5569230, 5569845, 883404, 862349, 826249]"
457,"[1029743, 995242, 883404, 1070015, 1005186]"
458,"[847982, 1058997, 849843, 862349, 981760]"
459,"[844165, 885290, 986912, 854852, 979707]"
460,"[1082185, 6534178, 1058997, 840361, 1106523]"
461,"[1029743, 6534178, 995242, 883404, 981760]"
462,"[995242, 862349, 840361, 908531, 866227]"
463,"[6534166, 1106523, 1133018, 5569230, 1070015]"
464,"[995242, 923746, 890610, 1082185, 1029743]"
465,"[1029743, 1133018, 1070015, 5568378, 1044078]"
466,"[1133018, 883404, 962568, 847982, 1080414]"
467,"[1082185, 834484, 849843, 1106523, 844165]"
468,"[1106523, 1080414, 1055863, 923746, 925514]"
469,"[1082185, 901062, 951412, 862349, 5569230]"
470,"[995242, 6534178, 994928, 908531, 1005186]"
471,"[1106523, 1133018, 908531, 1026118, 849843]"
472,"[940947, 1029743, 914190, 981760, 951590]"
473,"[6534178, 1071939, 1029743, 1038217, 994928]"
474,"[883404, 1092026, 995242, 981760, 844165]"
475,"[1075368, 1082185, 5569230, 995242, 908531]"
476,"[1106523, 1070820, 1005186, 833025, 1085604]"
477,"[1029743, 6534178, 908531, 849843, 1133018]"
478,"[1082185, 1029743, 1106523, 995242, 6534178]"
479,"[1037840, 1106523, 1133018, 1053763, 1065593]"
480,"[6534178, 1051516, 840361, 5569471, 1070820]"
481,"[951590, 1022003, 965766, 845208, 962229]"
482,"[1133018, 844165, 1044078, 951590, 999971]"
483,"[1071939, 1133018, 834484, 1106523, 5569471]"
484,"[1050851, 1013321, 862349, 1038217, 1070820]"
485,"[6534178, 1029743, 923746, 995242, 951590]"
486,"[1106523, 883404, 981760, 999971, 1122358]"
487,"[1082185, 1029743, 1106523, 6534178, 1133018]"
488,"[1082185, 995242, 981760, 1026118, 951590]"
489,"[1082185, 6534178, 981760, 903325, 986912]"
490,"[1044078, 856772, 5569471, 1075368, 833715]"
491,"[6534178, 962568, 1003188, 903325, 862349]"
492,"[1082185, 6534178, 981760, 1075368, 862349]"
493,"[6534178, 911812, 1013321, 1068719, 995242]"
494,"[1082185, 1029743, 1106523, 6534178, 1133018]"
495,"[1029743, 1106523, 923746, 908531, 883404]"
496,"[1106523, 1133018, 923746, 844165, 849843]"
497,"[1082185, 1070820, 844165, 862349, 962229]"
498,"[1106523, 908531, 927191, 6034857, 938700]"
499,"[923746, 908531, 1126899, 5569471, 1075368]"
500,"[1082185, 1029743, 1106523, 6534178, 1133018]"
501,"[1005186, 849843, 965766, 860776, 962568]"
502,"[1029743, 923746, 1070015, 5568378, 981760]"
